,Global CMP22 (vent/cor) [W/m^2]
2022-01-20 05:40:00-07:00,-1.46011
2022-01-20 05:41:00-07:00,-1.4079
2022-01-20 05:42:00-07:00,-1.40324
2022-01-20 05:43:00-07:00,-1.38772
2022-01-20 05:44:00-07:00,-1.39567
2022-01-20 05:45:00-07:00,-1.42754
2022-01-20 05:46:00-07:00,-1.42759
2022-01-20 05:47:00-07:00,-1.4312
2022-01-20 05:48:00-07:00,-1.44686
2022-01-20 05:49:00-07:00,-1.46218
2022-01-20 05:50:00-07:00,-1.47276
2022-01-20 05:51:00-07:00,-1.50429
2022-01-20 05:52:00-07:00,-1.51725
2022-01-20 05:53:00-07:00,-1.53746
2022-01-20 05:54:00-07:00,-1.57684
2022-01-20 05:55:00-07:00,-1.58865
2022-01-20 05:56:00-07:00,-1.59617
2022-01-20 05:57:00-07:00,-1.62332
2022-01-20 05:58:00-07:00,-1.63928
2022-01-20 05:59:00-07:00,-1.68239
2022-01-20 06:00:00-07:00,-1.73038
2022-01-20 06:01:00-07:00,-1.77821
2022-01-20 06:02:00-07:00,-1.82259
2022-01-20 06:03:00-07:00,-1.85031
2022-01-20 06:04:00-07:00,-1.88185
2022-01-20 06:05:00-07:00,-1.9175
2022-01-20 06:06:00-07:00,-1.99081
2022-01-20 06:07:00-07:00,-2.03434
2022-01-20 06:08:00-07:00,-2.066
2022-01-20 06:09:00-07:00,-2.08579
2022-01-20 06:10:00-07:00,-2.08975
2022-01-20 06:11:00-07:00,-2.12142
2022-01-20 06:12:00-07:00,-2.15307
2022-01-20 06:13:00-07:00,-2.14911
2022-01-20 06:14:00-07:00,-2.14516
2022-01-20 06:15:00-07:00,-2.14517
2022-01-20 06:16:00-07:00,-2.13329
2022-01-20 06:17:00-07:00,-2.10954
2022-01-20 06:18:00-07:00,-2.14516
2022-01-20 06:19:00-07:00,-2.06205
2022-01-20 06:20:00-07:00,-2.11351
2022-01-20 06:21:00-07:00,-2.08976
2022-01-20 06:22:00-07:00,-2.1135
2022-01-20 06:23:00-07:00,-2.14121
2022-01-20 06:24:00-07:00,-2.0581
2022-01-20 06:25:00-07:00,-2.07789
2022-01-20 06:26:00-07:00,-2.03039
2022-01-20 06:27:00-07:00,-2.06205
2022-01-20 06:28:00-07:00,-2.00664
2022-01-20 06:29:00-07:00,-1.99081
2022-01-20 06:30:00-07:00,-1.92748
2022-01-20 06:31:00-07:00,-1.9354
2022-01-20 06:32:00-07:00,-1.92748
2022-01-20 06:33:00-07:00,-1.92749
2022-01-20 06:34:00-07:00,-1.92353
2022-01-20 06:35:00-07:00,-1.90374
2022-01-20 06:36:00-07:00,-1.89583
2022-01-20 06:37:00-07:00,-1.89978
2022-01-20 06:38:00-07:00,-1.90373
2022-01-20 06:39:00-07:00,-1.94727
2022-01-20 06:40:00-07:00,-1.99081
2022-01-20 06:41:00-07:00,-2.04226
2022-01-20 06:42:00-07:00,-2.05414
2022-01-20 06:43:00-07:00,-2.06997
2022-01-20 06:44:00-07:00,-2.00268
2022-01-20 06:45:00-07:00,-1.92748
2022-01-20 06:46:00-07:00,-1.88395
2022-01-20 06:47:00-07:00,-1.84833
2022-01-20 06:48:00-07:00,-1.80875
2022-01-20 06:49:00-07:00,-1.76126
2022-01-20 06:50:00-07:00,-1.73355
2022-01-20 06:51:00-07:00,-1.71772
2022-01-20 06:52:00-07:00,-1.69793
2022-01-20 06:53:00-07:00,-1.73751
2022-01-20 06:54:00-07:00,-1.67418
2022-01-20 06:55:00-07:00,-1.65836
2022-01-20 06:56:00-07:00,-1.61086
2022-01-20 06:57:00-07:00,-1.58712
2022-01-20 06:58:00-07:00,-1.52775
2022-01-20 06:59:00-07:00,-1.48817
2022-01-20 07:00:00-07:00,-1.40109
2022-01-20 07:01:00-07:00,-1.3061
2022-01-20 07:02:00-07:00,-1.21903
2022-01-20 07:03:00-07:00,-1.11217
2022-01-20 07:04:00-07:00,-1.03301
2022-01-20 07:05:00-07:00,-0.938017
2022-01-20 07:06:00-07:00,-0.799492
2022-01-20 07:07:00-07:00,-0.621388
2022-01-20 07:08:00-07:00,-0.427453
2022-01-20 07:09:00-07:00,-0.2256
2022-01-20 07:10:00-07:00,0.019789
2022-01-20 07:11:00-07:00,0.253305
2022-01-20 07:12:00-07:00,0.526399
2022-01-20 07:13:00-07:00,0.819282
2022-01-20 07:14:00-07:00,1.17945
2022-01-20 07:15:00-07:00,1.59899
2022-01-20 07:16:00-07:00,1.93145
2022-01-20 07:17:00-07:00,2.22829
2022-01-20 07:18:00-07:00,2.50139
2022-01-20 07:19:00-07:00,2.69533
2022-01-20 07:20:00-07:00,2.99612
2022-01-20 07:21:00-07:00,3.34046
2022-01-20 07:22:00-07:00,3.75208
2022-01-20 07:23:00-07:00,4.17557
2022-01-20 07:24:00-07:00,5.10791
2022-01-20 07:25:00-07:00,5.82938
2022-01-20 07:26:00-07:00,6.46221
2022-01-20 07:27:00-07:00,6.13756
2022-01-20 07:28:00-07:00,6.47849
2022-01-20 07:29:00-07:00,8.15246
2022-01-20 07:30:00-07:00,10.9264
2022-01-20 07:31:00-07:00,10.1664
2022-01-20 07:32:00-07:00,8.27504
2022-01-20 07:33:00-07:00,8.1773
2022-01-20 07:34:00-07:00,9.94684
2022-01-20 07:35:00-07:00,14.5686
2022-01-20 07:36:00-07:00,16.6291
2022-01-20 07:37:00-07:00,11.9631
2022-01-20 07:38:00-07:00,10.1788
2022-01-20 07:39:00-07:00,12.309
2022-01-20 07:40:00-07:00,19.1202
2022-01-20 07:41:00-07:00,23.7894
2022-01-20 07:42:00-07:00,24.1408
2022-01-20 07:43:00-07:00,16.1061
2022-01-20 07:44:00-07:00,12.2561
2022-01-20 07:45:00-07:00,14.7861
2022-01-20 07:46:00-07:00,18.8193
2022-01-20 07:47:00-07:00,22.0369
2022-01-20 07:48:00-07:00,30.1429
2022-01-20 07:49:00-07:00,36.8119
2022-01-20 07:50:00-07:00,37.8882
