,Ambient Temperature,Barometric Pressure,Diffuse Horizontal,Direct Normal,Global Horizontal,Global Normal,Plane of array,Relative Humidity,UV-A,UV-B,Wind Direction,Wind Speed
1/1/2022 7:40,-15.36602,812.0327,9.871018,1.409211,8.695126,12.99061,13.45698,92.95198,0.7853456,0.004608988,59.2145,0.4851685
1/1/2022 7:45,-15.29793,812.809,12.14895,1.409211,10.70169,15.58874,16.00289,93.05412,0.9927953,0.005267415,7.243105,0.8086142
1/1/2022 7:50,-15.26388,812.2778,12.14895,1.409211,10.70169,16.8878,16.00289,93.1052,1.185427,0.006090449,344.5975,0.6754307
1/1/2022 7:55,-15.22983,812.9724,15.18618,1.409211,13.37712,19.48592,19.63991,93.13924,1.400286,0.007242696,20.02145,1.503071
1/1/2022 8:00,-15.2128,813.0132,15.94549,2.113816,14.71483,20.78498,20.36732,93.00305,1.585509,0.008559549,4.485188,0.3805243
1/1/2022 8:05,-15.22983,812.8907,15.94549,1.409211,13.37712,20.78498,19.63991,93.00305,1.81889,0.009876404,8.530132,0.9132584
1/1/2022 8:10,-15.19578,812.7273,20.12169,2.113816,18.05911,27.28029,26.55025,92.96901,2.137474,0.01185168,333.2594,0.8276404
1/1/2022 8:15,-15.19578,813.381,28.09444,2.113816,25.41652,38.97184,37.09761,93.07115,2.489397,0.01382696,353.2083,1.074981
1/1/2022 8:20,-15.11066,813.4627,37.20615,3.523027,33.44279,53.26152,50.9183,93.1052,2.874661,0.01580225,242.0337,0.9322846
1/1/2022 8:25,-15.02554,813.6261,43.66027,2.818422,40.13135,64.95307,60.37455,93.13924,3.200654,0.01827135,347.478,1.036929
1/1/2022 8:30,-14.92339,812.9724,44.79924,1.761513,40.13135,66.90166,61.82936,93.12222,3.382172,0.02041123,348.9182,1.055955
1/1/2022 8:35,-14.8553,813.6261,41.00269,1.056908,37.45592,61.05589,56.01013,93.17329,3.452557,0.02189269,28.41777,0.1617228
1/1/2022 8:40,-14.77018,813.7896,37.20615,0.7046054,33.44279,54.56058,50.19089,93.13924,3.49701,0.02370337,341.9009,0.70397
1/1/2022 8:45,-14.7191,813.381,39.48407,1.761513,35.44936,59.75682,55.28272,93.08817,3.70446,0.02567865,15.70071,0.3614981
1/1/2022 8:50,-14.68505,813.4627,46.69751,2.113816,42.80677,70.14931,64.73898,93.32652,4.104542,0.02864157,28.44841,0.1712359
1/1/2022 8:55,-14.53184,814.1165,44.03993,2.466119,38.79364,66.25213,60.37455,93.41164,4.074906,0.03028764,32.64658,0.5898127
1/1/2022 9:00,-14.44672,814.1981,40.62304,1.409211,36.11821,63.00448,57.46494,93.46271,4.05268,0.03160449,62.09499,1.170112
1/1/2022 9:05,-14.46374,814.239,42.52131,1.409211,37.45592,64.95307,59.28344,93.39461,4.200858,0.03357977,336.2625,0.4661423
1/1/2022 9:10,-14.41267,814.0756,44.03993,1.409211,38.79364,68.20072,61.10196,93.47973,4.356445,0.03621348,63.38202,1.360374
1/1/2022 9:15,-14.3616,814.1573,44.03993,1.409211,38.79364,67.55119,60.73825,93.49676,4.408308,0.03785955,102.8202,0.1617228
1/1/2022 9:20,-14.34457,813.953,44.79924,1.409211,40.13135,70.14931,62.55676,93.63295,4.563895,0.04016404,343.9234,0.8181273
1/1/2022 9:25,-14.2935,814.5659,45.9382,2.113816,40.13135,72.09791,63.64787,93.58188,4.756527,0.04345617,-0.938713,0.9227715
1/1/2022 9:30,-14.26017,814.5162,44.79924,1.409211,39.46249,71.44838,62.55676,93.37498,4.819368,0.04575939,334.7822,0.1617183
1/1/2022 9:35,-14.31302,814.6986,46.69751,1.409211,41.46906,75.34557,65.46638,93.13019,5.14129,0.05003557,350.2937,1.246096
1/1/2022 9:40,-14.41607,814.6058,51.25336,1.409211,45.48219,83.13993,72.74043,93.02476,5.541136,0.05497135,333.5215,0.8465542
1/1/2022 9:45,-14.43343,815.0509,53.15164,0.7046054,46.8199,87.03712,75.65004,93.14265,5.707738,0.0579331,351.7166,1.483828
1/1/2022 9:50,-14.34862,814.843,53.91095,0.3523027,48.15762,88.33617,76.37744,93.24369,5.822492,0.06073029,310.9017,0.2092553
1/1/2022 9:55,-14.33175,815.0862,59.22535,0.7045963,53.50777,97.42835,84.01411,93.14101,6.326181,0.06780686,357.5623,2.178145
1/1/2022 10:00,-14.41692,815.1672,64.53996,0.704591,57.52042,105.2218,90.92367,93.07272,6.844706,0.07521278,328.2711,0.161696
1/1/2022 10:05,-14.3659,815.33,69.85256,1.409133,61.53131,114.3111,98.19411,93.31084,7.341006,0.08294786,102.9253,1.255519
1/1/2022 10:10,-14.21274,815.5339,75.16471,1.409082,66.87945,124.6985,106.1913,93.36181,7.929908,0.0921642,348.9204,0.798966
1/1/2022 10:15,-14.17871,815.6155,78.20067,2.113595,69.55373,129.8926,110.5539,93.37879,8.3114,0.09874731,-1.122553,-0.06658047
1/1/2022 10:20,-14.17871,815.5746,77.44029,2.818086,68.21516,129.8907,109.8249,93.3277,8.389177,0.1018743,353.1789,1.027241
1/1/2022 10:25,-14.11063,815.0026,77.43961,2.113545,68.21455,131.1884,111.2786,93.31067,8.552145,0.1050013,0.3787237,1.72158
1/1/2022 10:30,-14.09361,815.2886,82.7539,2.11354,73.56454,144.177,121.097,93.15747,9.174388,0.1138885,331.9465,0.9035917
1/1/2022 10:35,-14.11063,815.3702,93.38197,2.113521,82.92653,167.5555,140.3694,93.14045,10.25591,0.1283714,344.8758,1.284051
1/1/2022 10:40,-14.0085,815.1251,104.0098,2.113501,92.28834,186.3875,155.6413,93.20854,11.18557,0.1420315,347.5107,1.074798
1/1/2022 10:45,-13.82127,815.452,104.7685,1.761242,92.28787,187.036,156.3678,93.58301,11.33002,0.1468043,257.7098,0.3709482
1/1/2022 10:50,-13.59999,814.9618,102.4904,1.408986,89.61236,184.4373,154.1851,93.78726,11.36335,0.1499313,312.3686,0.4850861
1/1/2022 10:55,-13.46382,814.8392,95.65732,2.113471,84.26206,174.0458,145.4571,93.65109,11.11149,0.1507542,66.25108,0.1712068
1/1/2022 11:00,-13.36169,814.7575,88.06533,2.113467,76.23698,162.3559,134.5476,93.65109,10.87445,0.1509187,1.726809,0.6943389
1/1/2022 11:05,-13.32765,815.0844,92.99702,0.7044665,81.58431,180.5339,149.8157,93.44684,11.7004,0.1630976,21.3966,0.3614367
1/1/2022 11:10,-13.29361,815.0026,105.5187,0.7044369,92.28002,212.9951,178.8986,93.66811,12.96341,0.17972,69.16172,1.065287
1/1/2022 11:15,-13.19148,814.7575,115.3846,1.40884,100.3019,244.1592,207.2556,94.00854,13.99678,0.1942029,28.32086,0.9131032
1/1/2022 11:20,-13.03829,815.1251,118.4177,1.761001,102.9738,270.1261,233.4288,94.09364,14.85977,0.2060526,0.2868088,1.046264
